store,date,temperature,fuel_price,markdown1,markdown2,markdown3,markdown4,markdown5,cpi,unemployment,dept,weekly_sales,IsHoliday,type,size
4,2011-11-11,47.12,3.286,12851.52,16658.47,430.13,5630.01,9213.39,129.8167097,5.14,13,70002.92,0,0,205863
30,2011-04-01,56.36,3.524,0.0,0.0,0.0,0.0,0.0,214.4886908,7.93,42,56.9,0,2,42988
32,2012-05-25,59.74,3.804,7581.03,0.0,216.17,748.97,3014.25,197.5886046,8.09,11,13227.53,0,0,203007
3,2011-12-02,54.97,3.172,850.86,18.94,781.71,394.29,7297.1,222.1589519,7.2,26,4273.76,0,1,37392
23,2010-11-26,34.95,3.07,0.0,0.0,0.0,0.0,0.0,132.8369333,5.29,14,67443.07,1,1,114533
18,2010-11-26,40.81,3.07,0.0,0.0,0.0,0.0,0.0,132.8369333,9.33,34,21897.0,1,1,120653
24,2010-10-29,57.29,3.055,0.0,0.0,0.0,0.0,0.0,132.8708387,8.28,54,66.84,0,0,203819
36,2010-09-17,82.1,2.55,0.0,0.0,0.0,0.0,0.0,210.2924504,8.36,98,11621.49,0,0,39910
40,2010-10-01,62.01,2.717,0.0,0.0,0.0,0.0,0.0,132.7568,5.29,34,5896.5,0,0,155083
16,2011-09-30,57.61,3.538,0.0,0.0,0.0,0.0,0.0,194.8779718,6.34,8,12812.93,0,1,57197
11,2010-05-21,76.97,2.826,0.0,0.0,0.0,0.0,0.0,213.9116886,7.34,79,29277.69,0,0,207499
18,2012-01-13,35.25,3.523,3761.79,22411.4,10.54,807.3,2977.83,136.753,8.08,20,6011.1,0,1,120653
11,2011-04-01,69.1,3.524,0.0,0.0,0.0,0.0,0.0,218.2114184,7.57,3,10359.5,0,0,207499
18,2012-03-30,45.35,3.921,13122.32,267.64,6.93,657.56,2566.75,137.7261935,8.08,91,23084.14,0,1,120653
25,2010-05-07,63.67,2.966,0.0,0.0,0.0,0.0,0.0,203.6101784,7.86,56,18740.23,0,1,128107
20,2011-07-15,74.88,3.76,0.0,0.0,0.0,0.0,0.0,208.5309337,7.27,14,19982.76,0,0,203742
28,2012-03-16,64.44,4.273,8243.42,44.26,6.68,3641.11,3645.65,130.8261935,12.19,94,34366.27,0,0,206302
32,2012-04-20,49.15,3.936,7666.76,2726.52,30.46,1330.36,2578.3,197.7227385,8.09,24,3522.78,0,0,203007
33,2010-06-04,86.06,2.941,0.0,0.0,0.0,0.0,0.0,126.1360645,9.85,93,39169.08,0,0,39690
4,2012-05-25,77.47,3.551,4330.02,436.0,862.31,3268.41,3749.53,131.0287742,4.31,20,9979.43,0,0,205863
10,2011-03-11,64.22,3.63,0.0,0.0,0.0,0.0,0.0,128.3995,8.74,21,8950.55,0,1,126512
15,2010-03-12,41.39,2.938,0.0,0.0,0.0,0.0,0.0,131.784,8.35,29,4298.46,0,1,123737
35,2012-02-10,37.86,3.64,11865.12,4373.03,23.69,11941.36,8357.61,141.1199827,8.74,3,9334.08,1,1,103681
35,2010-08-27,70.31,2.755,0.0,0.0,0.0,0.0,0.0,136.557015,8.86,80,103.92,0,1,103681
31,2010-06-18,86.18,2.637,0.0,0.0,0.0,0.0,0.0,211.1096543,8.2,9,14553.3,0,0,203750
11,2012-03-16,64.21,3.734,7073.59,224.43,4.19,3164.68,2438.5,224.7166953,6.83,33,9097.83,0,0,207499
28,2011-08-19,91.74,3.743,0.0,0.0,0.0,0.0,0.0,129.2405806,13.5,24,12528.02,0,0,206302
10,2010-02-12,49.96,2.828,0.0,0.0,0.0,0.0,0.0,126.4962581,9.77,45,101.96,1,1,126512
15,2010-10-22,47.1,3.049,0.0,0.0,0.0,0.0,0.0,132.8170968,8.07,42,4306.45,0,1,123737
10,2010-11-26,55.33,3.162,0.0,0.0,0.0,0.0,0.0,126.6692667,9.0,18,59751.04,1,1,126512
31,2010-10-08,65.76,2.633,0.0,0.0,0.0,0.0,0.0,211.4044906,8.16,8,25179.25,0,0,203750
37,2011-09-23,78.35,3.467,0.0,0.0,0.0,0.0,0.0,215.1233185,8.18,85,124.23,0,2,39910
42,2011-08-19,87.4,3.743,0.0,0.0,0.0,0.0,0.0,129.2405806,8.26,90,51963.07,0,2,39690
13,2010-04-23,55.66,2.936,0.0,0.0,0.0,0.0,0.0,126.4713333,8.11,12,8058.81,0,0,219622
40,2011-11-25,32.76,3.536,247.58,387.88,40362.07,47.0,1788.31,136.4788,4.42,41,345.0,1,0,155083
30,2012-05-18,72.42,3.63,57.13,0.0,0.0,0.0,857.91,221.380331,6.89,9,165.12,0,2,42988
7,2011-03-18,27.69,3.406,0.0,0.0,0.0,0.0,0.0,192.1237981,8.82,18,-14.06,0,1,70713
40,2012-01-20,14.02,3.542,1658.12,4319.36,101.86,79.54,1831.29,136.8564194,4.26,40,34686.54,0,0,155083
2,2010-11-19,50.81,2.771,0.0,0.0,0.0,0.0,0.0,211.5470304,8.16,22,14285.09,0,0,202307
24,2012-06-22,72.29,3.722,8790.16,749.1,30.57,4434.39,7308.24,138.1629,8.98,98,11844.49,0,0,203819
13,2012-03-02,32.36,3.242,25204.67,2436.75,167.88,16066.76,7289.69,130.6457931,6.1,35,3425.02,0,0,219622
3,2011-01-07,53.35,2.976,0.0,0.0,0.0,0.0,0.0,214.6955104,7.55,29,1416.05,0,1,37392
36,2010-06-25,84.14,2.601,0.0,0.0,0.0,0.0,0.0,210.0975233,8.46,94,61679.14,0,0,39910
8,2010-04-16,62.66,2.808,0.0,0.0,0.0,0.0,0.0,213.8186357,6.29,9,13611.51,0,0,155078
42,2011-11-11,55.28,3.677,25.73,274.85,14.74,0.0,2885.55,129.8167097,7.87,83,3848.23,0,2,39690
42,2010-10-29,68.76,3.13,0.0,0.0,0.0,0.0,0.0,126.4364194,9.0,40,18068.95,0,2,39690
16,2012-10-26,40.99,3.686,2285.52,20.48,0.0,201.97,1237.41,199.2195317,5.85,98,88.77,0,1,57197
17,2010-04-30,43.82,2.941,0.0,0.0,0.0,0.0,0.0,126.3805667,6.64,7,17625.65,0,1,93188
34,2012-09-14,64.28,3.706,4855.31,0.0,11.31,832.14,5118.55,130.9776667,9.29,82,15252.05,0,0,158114
